Year,age_group,Rate
1994,15–19,10.9
1994,20–24,20.4
1994,25–29,18.3
1994,30–34,17.1
1994,35–39,16.5
1994,40–44,17.1
1994,45–49,15.5
1994,50–54,16.2
1994,55–59,14.7
1994,60–64,14.9
1994,65–69,13.1
1994,70–74,14.3
1994,75–79,15.6
1994,80–84,17.0
1994,85+,17.2
1995,15–19,10.1
1995,20–24,21.6
1995,25–29,20.8
1995,30–34,19.8
1995,35–39,19.0
1995,40–44,16.3
1995,45–49,16.2
1995,50–54,16.2
1995,55–59,17.4
1995,60–64,12.4
1995,65–69,12.5
1995,70–74,11.5
1995,75–79,13.0
1995,80–84,17.9
1995,85+,14.2
1996,15–19,11.0
1996,20–24,19.2
1996,25–29,20.2
1996,30–34,19.2
1996,35–39,20.6
1996,40–44,16.6
1996,45–49,15.6
1996,50–54,15.1
1996,55–59,13.8
1996,60–64,15.1
1996,65–69,12.1
1996,70–74,15.2
1996,75–79,15.7
1996,80–84,17.8
1996,85+,11.4
1997,15–19,12.2
1997,20–24,26.3
1997,25–29,24.5
1997,30–34,21.3
1997,35–39,18.9
1997,40–44,20.0
1997,45–49,15.4
1997,50–54,17.6
1997,55–59,15.3
1997,60–64,14.4
1997,65–69,14.9
1997,70–74,15.0
1997,75–79,20.0
1997,80–84,16.7
1997,85+,16.5
1998,15–19,11.8
1998,20–24,22.4
1998,25–29,25.4
1998,30–34,23.5
1998,35–39,23.5
1998,40–44,19.0
1998,45–49,15.4
1998,50–54,16.1
1998,55–59,13.4
1998,60–64,13.2
1998,65–69,15.7
1998,70–74,11.4
1998,75–79,12.6
1998,80–84,16.5
1998,85+,13.0
1999,15–19,9.6
1999,20–24,19.8
1999,25–29,22.5
1999,30–34,21.1
1999,35–39,18.1
1999,40–44,18.3
1999,45–49,16.8
1999,50–54,15.5
1999,55–59,13.3
1999,60–64,12.6
1999,65–69,11.8
1999,70–74,14.3
1999,75–79,13.1
1999,80–84,15.6
1999,85+,14.3
2000,15–19,9.9
2000,20–24,16.3
2000,25–29,20.3
2000,30–34,20.4
2000,35–39,20.1
2000,40–44,19.1
2000,45–49,14.0
2000,50–54,13.8
2000,55–59,11.4
2000,60–64,11.1
2000,65–69,11.4
2000,70–74,13.5
2000,75–79,12.5
2000,80–84,12.4
2000,85+,16.7
2001,15–19,9.0
2001,20–24,17.0
2001,25–29,20.2
2001,30–34,21.5
2001,35–39,20.7
2001,40–44,17.7
2001,45–49,16.3
2001,50–54,15.2
2001,55–59,13.0
2001,60–64,11.5
2001,65–69,11.2
2001,70–74,13.2
2001,75–79,11.8
2001,80–84,14.0
2001,85+,14.4
2002,15–19,9.2
2002,20–24,14.7
2002,25–29,19.1
2002,30–34,19.1
2002,35–39,18.4
2002,40–44,18.9
2002,45–49,15.3
2002,50–54,14.4
2002,55–59,11.0
2002,60–64,11.3
2002,65–69,11.4
2002,70–74,10.5
2002,75–79,11.3
2002,80–84,11.0
2002,85+,16.1
2003,15–19,8.3
2003,20–24,13.9
2003,25–29,16.4
2003,30–34,19.7
2003,35–39,16.7
2003,40–44,15.9
2003,45–49,17.5
2003,50–54,11.4
2003,55–59,10.9
2003,60–64,10.2
2003,65–69,11.7
2003,70–74,12.5
2003,75–79,12.8
2003,80–84,8.5
2003,85+,11.8
2004,15–19,6.2
2004,20–24,13.0
2004,25–29,15.0
2004,30–34,17.8
2004,35–39,14.8
2004,40–44,16.9
2004,45–49,12.8
2004,50–54,12.5
2004,55–59,9.5
2004,60–64,10.6
2004,65–69,12.0
2004,70–74,12.2
2004,75–79,12.6
2004,80–84,15.5
2004,85+,12.2
2005,15–19,6.6
2005,20–24,14.1
2005,25–29,14.7
2005,30–34,16.2
2005,35–39,14.8
2005,40–44,16.2
2005,45–49,15.4
2005,50–54,13.4
2005,55–59,9.6
2005,60–64,9.9
2005,65–69,8.9
2005,70–74,10.8
2005,75–79,10.7
2005,80–84,13.0
2005,85+,13.2
2006,15–19,7.9
2006,20–24,13.0
2006,25–29,11.5
2006,30–34,13.0
2006,35–39,15.9
2006,40–44,14.8
2006,45–49,15.6
2006,50–54,13.9
2006,55–59,12.6
2006,60–64,11.3
2006,65–69,9.7
2006,70–74,12.8
2006,75–79,11.5
2006,80–84,10.2
2006,85+,16.0
2007,15–19,8.2
2007,20–24,12.4
2007,25–29,14.0
2007,30–34,15.8
2007,35–39,16.8
2007,40–44,15.0
2007,45–49,14.4
2007,50–54,14.7
2007,55–59,12.2
2007,60–64,12.4
2007,65–69,10.0
2007,70–74,9.2
2007,75–79,12.2
2007,80–84,11.2
2007,85+,13.1
2008,15–19,6.8
2008,20–24,12.4
2008,25–29,13.5
2008,30–34,16.6
2008,35–39,17.0
2008,40–44,17.6
2008,45–49,16.5
2008,50–54,14.9
2008,55–59,13.3
2008,60–64,9.8
2008,65–69,11.8
2008,70–74,11.9
2008,75–79,11.3
2008,80–84,10.5
2008,85+,11.9
2009,15–19,7.2
2009,20–24,10.8
2009,25–29,13.8
2009,30–34,15.0
2009,35–39,16.1
2009,40–44,16.1
2009,45–49,15.8
2009,50–54,16.0
2009,55–59,13.0
2009,60–64,12.9
2009,65–69,9.9
2009,70–74,9.3
2009,75–79,13.9
2009,80–84,11.4
2009,85+,14.4
2010,15–19,8.0
2010,20–24,11.8
2010,25–29,12.0
2010,30–34,14.7
2010,35–39,18.0
2010,40–44,17.9
2010,45–49,18.5
2010,50–54,15.0
2010,55–59,13.8
2010,60–64,12.1
2010,65–69,8.5
2010,70–74,10.5
2010,75–79,15.3
2010,80–84,15.6
2010,85+,11.9
2011,15–19,8.0
2011,20–24,13.5
2011,25–29,13.1
2011,30–34,13.9
2011,35–39,14.7
2011,40–44,15.8
2011,45–49,16.5
2011,50–54,13.3
2011,55–59,13.8
2011,60–64,10.4
2011,65–69,10.4
2011,70–74,10.2
2011,75–79,10.9
2011,80–84,13.5
2011,85+,17.3
2012,15–19,9.0
2012,20–24,12.0
2012,25–29,12.5
2012,30–34,14.8
2012,35–39,17.1
2012,40–44,17.1
2012,45–49,16.8
2012,50–54,16.8
2012,55–59,13.7
2012,60–64,11.8
2012,65–69,9.7
2012,70–74,11.7
2012,75–79,10.7
2012,80–84,18.4
2012,85+,15.9
2013,15–19,10.5
2013,20–24,12.6
2013,25–29,12.2
2013,30–34,12.8
2013,35–39,14.9
2013,40–44,17.7
2013,45–49,16.3
2013,50–54,16.5
2013,55–59,13.8
2013,60–64,13.1
2013,65–69,10.8
2013,70–74,11.7
2013,75–79,12.4
2013,80–84,12.6
2013,85+,18.0
2014,15–19,9.1
2014,20–24,14.4
2014,25–29,13.2
2014,30–34,17.4
2014,35–39,17.4
2014,40–44,19.4
2014,45–49,16.6
2014,50–54,19.4
2014,55–59,17.1
2014,60–64,13.5
2014,65–69,11.4
2014,70–74,11.7
2014,75–79,12.0
2014,80–84,12.5
2014,85+,18.3
2015,15–19,10.2
2015,20–24,14.8
2015,25–29,14.8
2015,30–34,16.0
2015,35–39,18.3
2015,40–44,19.4
2015,45–49,21.7
2015,50–54,20.6
2015,55–59,15.3
2015,60–64,12.6
2015,65–69,11.8
2015,70–74,12.6
2015,75–79,12.8
2015,80–84,15.6
2015,85+,19.0
2016,15–19,9.4
2016,20–24,15.8
2016,25–29,14.2
2016,30–34,17.8
2016,35–39,16.1
2016,40–44,17.7
2016,45–49,15.6
2016,50–54,17.2
2016,55–59,14.5
2016,60–64,13.5
2016,65–69,10.4
2016,70–74,10.0
2016,75–79,14.6
2016,80–84,12.5
2016,85+,18.4
2017,15–19,11.1
2017,20–24,14.7
2017,25–29,16.1
2017,30–34,17.6
2017,35–39,17.3
2017,40–44,21.1
2017,45–49,22.3
2017,50–54,16.8
2017,55–59,18.5
2017,60–64,14.2
2017,65–69,13.7
2017,70–74,12.9
2017,75–79,11.4
2017,80–84,14.1
2017,85+,16.2
2018,15–19,12.5
2018,20–24,15.1
2018,25–29,15.1
2018,30–34,15.1
2018,35–39,17.5
2018,40–44,17.8
2018,45–49,18.7
2018,50–54,18.6
2018,55–59,18.9
2018,60–64,15.0
2018,65–69,11.3
2018,70–74,10.7
2018,75–79,11.3
2018,80–84,15.6
2018,85+,15.9
2019,15–19,11.5
2019,20–24,16.4
2019,25–29,16.2
2019,30–34,16.0
2019,35–39,18.3
2019,40–44,19.6
2019,45–49,19.7
2019,50–54,17.8
2019,55–59,17.5
2019,60–64,15.3
2019,65–69,10.7
2019,70–74,11.0
2019,75–79,12.9
2019,80–84,13.1
2019,85+,17.8
2020,15–19,11.7
2020,20–24,16.3
2020,25–29,15.5
2020,30–34,15.5
2020,35–39,15.4
2020,40–44,17.4
2020,45–49,17.5
2020,50–54,16.7
2020,55–59,14.2
2020,60–64,14.7
2020,65–69,10.8
2020,70–74,10.9
2020,75–79,12.3
2020,80–84,13.4
2020,85+,17.8
